DESCRIPTION,USERID,USERNAME,USER_PARENT_ID,OPENDATE,ACCOUNT_BLOCK_REASONS,DESCRIPTION,SKIN,ACCOUNTTYPENAME,REALBALANCE,VERIFIEDPLAYER,VERIFIED_BANK_DETAILS,MOBILE_VERIFICATION,BR_ID,BR_NAME
Regular,18103613,lopesbr17,,2024-11-12 11:27:46,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18056460,puazbr041101,,2024-11-04 07:15:35,",1100,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,2,1100,CDD Request
Regular,18075955,adibr30,,2024-11-07 16:54:10,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18075955,adibr30,,2024-11-07 16:54:10,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18075947,adiPUbr2,,2024-11-07 16:53:20,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18075947,adiPUbr2,,2024-11-07 16:53:20,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18075952,adiPUbr30,,2024-11-07 16:53:51,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18075952,adiPUbr30,,2024-11-07 16:53:51,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18081823,lopesbr13,,2024-11-08 18:27:09,",1292,1100,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18081823,lopesbr13,,2024-11-08 18:27:09,",1292,1100,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18075640,adiPUbr20,,2024-11-07 15:41:32,",1100,",Verification not relevant,PlayUZU.bet.br,Real User,1500.0,0,0,2,1100,CDD Request
Regular,18109213,lopesbr20,,2024-11-13 09:47:45,",1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18075956,adibr38,,2024-11-07 16:54:29,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18075956,adibr38,,2024-11-07 16:54:29,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18097694,vastest489,,2024-11-11 10:27:33,",1100,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,2,1100,CDD Request
Regular,18109695,bpazbr131102,,2024-11-13 12:29:03,",1292,1100,",Verification not relevant,BacanaPlay.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
