DESCRIPTION,USERID,USERNAME,USER_PARENT_ID,OPENDATE,ACCOUNT_BLOCK_REASONS,DESCRIPTION,SKIN,ACCOUNTTYPENAME,REALBALANCE,VERIFIEDPLAYER,VERIFIED_BANK_DETAILS,MOBILE_VERIFICATION
Regular,18427668,olimar_,,2025-01-02 13:50:25,",1290,1020,1291,1343,1292,1161,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18436500,wellytania,,2025-01-03 19:52:33,",1291,1020,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18424976,viedie_ii72,,2025-01-02 00:54:02,",1291,1290,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18431155,Diegon04,,2025-01-02 23:23:12,",1020,1292,1290,1343,1291,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18428566,stijef_es26,,2025-01-02 16:57:32,",1010,1017,1011,1290,1291,1020,1012,1016,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18436370,cesdio_di72,,2025-01-03 19:30:36,",1020,1292,1010,1016,1291,1011,1290,1343,1017,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18434622,AndreTortu,,2025-01-03 13:30:44,",1020,1010,1016,1291,1011,1290,1017,1019,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18420926,edubia,,2025-01-01 12:50:46,",1291,1290,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18432269,Valdeirap050,,2025-01-03 02:23:31,",1020,1290,1343,1291,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18422651,Irbr20,,2025-01-01 18:53:39,",1291,1290,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18440739,Michelemizz,,2025-01-04 06:57:45,",1291,1020,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18432634,Cihope30,,2025-01-03 03:35:38,",1290,1291,1343,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18422038,Srta_Luz,,2025-01-01 16:59:34,",1291,1343,1290,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18435753,Marialucia65,,2025-01-03 17:38:49,",1020,1291,1290,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18427806,motdal_da49,,2025-01-02 14:19:12,",1290,1020,1291,1343,1292,1161,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18432157,damjam_jm83,,2025-01-03 02:05:03,",1291,1290,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18431010,daylay_al48,,2025-01-02 23:05:16,",1292,1290,1291,1343,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18427706,mi2601,,2025-01-02 13:58:54,",1020,1291,1290,1343,1292,1019,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18438495,perros_er51,,2025-01-04 00:16:47,",1020,1291,1290,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18434936,2jhon2,,2025-01-03 14:46:03,",1343,1020,1291,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18436550,amabea_ae40,,2025-01-03 19:59:58,",1291,1020,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18427933,Wilson09041,,2025-01-02 14:49:53,",1291,1020,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18427772,motdal_lt07s,,2025-01-02 14:12:49,",1020,1291,1292,1343,1290,1161,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18443528,Reciopaiva09,,2025-01-04 19:20:59,",1020,1291,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18440849,peifab_ab26,,2025-01-04 07:42:33,",1291,1020,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18442661,Geovana92,,2025-01-04 16:39:31,",1343,1020,1291,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18443452,Givaldooo3,,2025-01-04 19:10:25,",1020,1292,1291,1290,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18442305,EriveltonR17,,2025-01-04 15:20:01,",1343,1020,1291,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18435117,fertia_af99t,,2025-01-03 15:22:44,",1291,1020,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18428267,Bezerra0,,2025-01-02 15:58:34,",1290,1291,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18422252,Poseidontv,,2025-01-01 17:40:23,",1291,1290,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18423249,Milenaose,,2025-01-01 20:22:03,",1291,1290,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18424802,vasdio_dv50,,2025-01-02 00:23:38,",1291,1343,1290,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18434333,marvan43,,2025-01-03 12:03:09,",1291,1020,1290,1343,1292,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18428722,naldo8050,,2025-01-02 17:30:44,",1291,1290,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18434941,Wesleyysanto,,2025-01-03 14:47:26,",1020,1291,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18428492,toljos_oj31,,2025-01-02 16:41:31,",1290,1291,1343,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18441836,nene1824,,2025-01-04 13:17:05,",1020,1291,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18438772,kmirob_ri75,,2025-01-04 00:53:22,",1291,1020,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18431562,Maxwillian3,,2025-01-03 00:26:47,",1290,1291,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18424131,Ellenfranco,,2025-01-01 22:37:55,",1291,1290,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18434938,Luanab1456,,2025-01-03 14:46:41,",1020,1291,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18426237,Maju02,,2025-01-02 05:13:58,",1291,1290,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
